ID,City Name,Country,Date,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed,Formatted Date
5275191,Superior,US,1595730973,78.8,94,46.72,-92.1,40,4.7,2020-07-25
1626493,Srandakan,ID,1595731176,81.95,62,-7.94,110.25,64,12.97,2020-07-25
3671497,Puerto Colombia,CO,1595731176,80.6,88,10.99,-74.95,40,5.82,2020-07-25
3137245,Spydeberg,NO,1595731176,59,93,59.62,11.09,100,11.41,2020-07-25
4031637,Lavrentiya,RU,1595731176,53.24,66,65.58,-171,65,6.91,2020-07-25
1805733,Jinchang,CN,1595731176,84.51,16,38.5,102.17,0,17.18,2020-07-25
3664980,Boa Vista,BR,1595731176,78.8,83,2.82,-60.67,20,1.12,2020-07-25
3893726,Constitución,CL,1595731177,48.51,76,-35.33,-72.42,100,3.22,2020-07-25
2953314,Bad Windsheim,DE,1595731177,69.8,60,49.5,10.42,90,6.93,2020-07-25
3460355,Jaciara,BR,1595731177,64.53,60,-15.97,-54.97,0,2.35,2020-07-25
2013459,Verkh-Usugli,RU,1595731177,73.76,68,52.7,115.17,99,3.49,2020-07-25
548097,Kislyakovskaya,RU,1595731177,73.02,33,46.44,39.67,13,13.44,2020-07-25
315202,Eskişehir,TR,1595731177,62.6,82,39.78,30.52,0,8.05,2020-07-25
2396518,Port-Gentil,GA,1595731177,74.59,79,-0.72,8.78,32,10.4,2020-07-25
5849297,Kīhei,US,1595731145,87.8,48,20.79,-156.47,40,24.16,2020-07-25
1279068,Aland,IN,1595731177,77,81,17.57,76.57,21,11.32,2020-07-25
2021799,Konstantinovka,RU,1595731177,86.59,47,49.62,127.98,91,5.3,2020-07-25
3182059,Bibbiena,IT,1595731178,70,79,43.7,11.81,18,1.01,2020-07-25
58933,Garoowe,SO,1595731178,73.4,67,8.41,48.48,27,25.52,2020-07-25
546105,Nikolskoye,RU,1595731178,57,93,59.7,30.79,90,4.47,2020-07-25
6171633,Ucluelet,CA,1595731178,64.4,63,48.93,-125.55,5,11.41,2020-07-25
2409914,Bonthe,SL,1595731178,75.11,86,7.53,-12.51,97,9.86,2020-07-25
2013225,Rechka Vydrino,RU,1595731178,63.18,70,51.48,104.85,1,2.57,2020-07-25
8010683,Porto Santo,PT,1595731178,69.8,77,33.07,-16.34,40,13.87,2020-07-25
3406041,Barroquinha,BR,1595731178,72.27,90,-3.02,-41.14,83,2.37,2020-07-25
4985711,Benton Harbor,US,1595731178,75,83,42.12,-86.45,1,10.25,2020-07-25
5257754,Janesville,US,1595730913,82.4,74,42.68,-89.02,20,5.82,2020-07-25
1213821,Sigli,ID,1595731179,84.43,67,5.38,95.96,83,0.49,2020-07-25
2318921,Wukari,NG,1595731179,71.83,94,7.85,9.78,94,6.76,2020-07-25
53654,Mogadishu,SO,1595731179,76.89,83,2.04,45.34,43,19.04,2020-07-25
1518139,Tobol,KZ,1595731179,64.6,81,52.68,62.58,70,7.87,2020-07-25
338345,Edd,ER,1595731179,89.78,61,13.93,41.69,100,8.5,2020-07-25
3698304,Chimbote,PE,1595731179,59.5,90,-9.09,-78.58,91,6.29,2020-07-25
1528252,Ivanovka,KG,1595731179,73.4,60,42.89,75.08,19,2.24,2020-07-25
2446796,Bilma,NE,1595731179,81.93,54,18.69,12.92,56,11.59,2020-07-25
1510377,Belyy Yar,RU,1595731180,68,68,53.6,91.39,67,11.18,2020-07-25
108410,Riyadh,SA,1595731028,91.4,38,24.69,46.72,0,5.82,2020-07-25
2618795,Klaksvík,FO,1595731180,51.8,81,62.23,-6.59,100,19.46,2020-07-25
469960,Vytegra,RU,1595731180,57.27,91,61.01,36.45,68,7.96,2020-07-25
1270466,Halvad,IN,1595731180,85.12,72,23.02,71.18,97,2.89,2020-07-25
2121025,Srednekolymsk,RU,1595731180,92.62,23,67.45,153.68,0,11.65,2020-07-25
293992,Ofakim,IL,1595731180,62.01,62,31.31,34.62,0,1.16,2020-07-25
3471451,Arraial do Cabo,BR,1595731180,71.6,83,-22.97,-42.03,0,18.34,2020-07-25
2171766,Charlestown,AU,1595731180,60.01,98,-32.95,151.67,100,1.66,2020-07-25
2638534,Sandwick,GB,1595731181,53.6,93,60,-1.25,100,10.29,2020-07-25
3696378,Huaraz,PE,1595731181,53.85,59,-9.53,-77.53,99,5.77,2020-07-25
