ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
2381972,MR,313.07,19,20.5,-10.07,67,5.11
2138555,NC,295.21,76,-20.23,164.02,75,8.1
498295,RU,302.03,33,50.08,47.1,57,5.74
2412408,GM,303.39,64,13.35,-15.75,69,2.73
2206874,NZ,283.15,87,-41.41,175.52,30,4.6
3372472,PT,295.15,60,37.72,-25.43,75,3.1
2264557,PT,296.48,69,32.67,-17.1,6,0.76
2541479,MA,301.15,69,35.17,-2.93,90,3.1
1863978,JP,304.26,94,33.77,130.47,75,2.1
4035715,CK,297.15,94,-21.21,-159.78,10,4.1
6137462,CA,291.9,55,51.23,-58.65,0,5.61
777019,NO,285.15,87,70.37,31.11,40,11.3
2020738,RU,293.1,93,49.24,135.17,94,1.47
1505579,RU,299.99,37,66.03,60.17,0,5.04
1214488,ID,299.98,82,4.14,96.13,100,2.69
1337610,MV,302.57,67,0.53,72.93,48,2.95
1267758,IN,298.16,96,24.87,92.35,100,1.82
86049,LY,307.85,19,29.03,21.55,0,5.07
3420846,GL,292.15,22,60.72,-46.03,40,13.4
933995,MU,295.15,53,-20.52,57.52,75,7.7
2159220,AU,290.15,93,-21.15,149.2,90,6.2
3026141,FR,300.15,32,46.8,0.53,16,5.1
2214432,LY,307.9,17,30.33,10.85,0,6.64
2124611,RU,288.57,60,62.72,147.95,36,3.82
5802636,US,295.93,43,46.74,-119.9,1,3.1
2542997,MA,306.15,31,31.63,-8.01,20,2.6
5866583,US,288.15,62,57.79,-152.41,1,9.3
3150261,NO,289.82,51,60.46,12.06,75,1.5
2374583,GW,300.26,80,11.28,-15.83,98,5.41
3451051,BR,296.22,37,-18.92,-54.84,0,2.39
2318123,NG,300.99,79,4.92,6.26,63,4.07
1640344,ID,297.41,92,-3.94,122.5,49,2.47
4021858,MX,291.95,85,27.98,-114.06,97,4.26
935214,RE,294.15,64,-21.34,55.48,90,7.2
286245,OM,306.09,57,22.57,59.53,71,10.56
211647,CD,310.11,19,-3.48,23.43,11,1.7
1701054,PH,300.93,83,8,124.29,100,1.37
2012530,RU,290.41,66,66.77,123.37,22,6.69
372884,SS,302.58,49,4.77,33.59,86,1.42
5282297,US,295.93,94,41.37,-73.41,90,1.26
